38,Your Name,"Drama, Romance, School, Supernatural",Movie,1
39,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64
40,Fire Force,"Action, Supernatural, Shounen",TV,48
41,Steins;Gate,"Sci-Fi, Thriller",TV,24
42,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10
43,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148
44,Fruits Basket,"Drama, Romance, Supernatural",TV,63
45,Bleach,"Action, Adventure, Fantasy",TV,379
46,Kaguya-sama: Love is War,"Comedy, Romance, School, Seinen",TV,37
47,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24
48,Koe no Katachi,"Drama, School, Shounen",Movie,1
49,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201
50,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25
51,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25
52,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1
53,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22
54,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10
55,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1
56,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25
57,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75
58,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4
59,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26
60,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,26
61,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1
62,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1
63,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26
64,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10
65,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26
66,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27
67,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43
